Topic,Count,Name,Representation,Representative_Docs
-1,793,-1_application_jour_compte_mise,"['application', 'jour', 'compte', 'mise', 'faire', 'fonctionne', 'arrive', 'problème', 'lente', 'version']","['installation dernière mise jour effectuer virement simple erreur', 'marche bien dernière mise jour', 'bonjour viens faire mise jour application lente besoin faire virement appli pratique cas cause lenteur mise jour intervenir faciliter utilisation cordialement']"
0,1489,0_application_bonne_fonctionne_jour,"['application', 'bonne', 'fonctionne', 'jour', 'compte', 'mise', 'lente', 'arrive', 'marche', 'service']","['application', 'application', 'application lente bonne mise jour']"
1,307,1_excellente_excellent_bravo_good,"['excellente', 'excellent', 'bravo', 'good', 'super', 'nice', 'impeccable', 'application', 'service', 'cool']","['excellente application', 'excellente application', 'excellente application']"
2,218,2_bien_bon_marche_courage,"['bien', 'bon', 'marche', 'courage', 'concter', 'sava', 'fort', 'bienn', 'tre', 'apps']","['bien', 'bien', 'bien']"
3,68,3_zero_zéro_null_nulle,"['zero', 'zéro', 'null', 'nulle', 'application', 'version', 'novele', 'inactive', 'zerooo', 'zéroooo']","['application zero', 'application zero', 'zéro zero zero']"
4,30,4_satisfait_satisfaite_efficace_hyper,"['satisfait', 'satisfaite', 'efficace', 'hyper', 'satisfais', 'eficace', 'efficaces', 'simple', 'atb', 'affiche']","['satisfait', 'satisfait', 'satisfait']"
5,20,5_mediocre_médiocre_pluspart_trs,"['mediocre', 'médiocre', 'pluspart', 'trs', 'poor', 'service', 'indispensable', 'généralement', 'temps', 'beugue']","['mediocre', 'mediocre', 'mediocre']"
6,20,6_خير_lendemain_erreurs_version,"['خير', 'lendemain', 'erreurs', 'version', 'mois', 'accéder', 'mis', 'الحرب', 'القديمة', 'البنوك']","['version fluides pratiques bug actuellement galère accéder compte messages erreur fréquents délai attente longs نرجعوا كيما كنا خير', 'mettre jour droits utilisation moment virement salaires mois attends lendemain puisse tirer salaire professionnel engagements cas urgents attendre lendemain سيادكم تسيبولنا شهارينا sevices zéro', 'تحفونة تعملت ومسهلة عليا بارشة معاملات توة عندها مدة ولات تحل بالسيف وساعات تحلش ويجيني message erreurs raison ailleurs desinstallé paske arrive accéder hier heure arrive installation fois téléphone']"
7,19,7_nuuuuuul_nuuul_nuuuuul_version,"['nuuuuuul', 'nuuul', 'nuuuuul', 'version', 'interdit', 'nuuuullllllll', 'hhhh', 'nuuuuule', 'nuuuul', 'nuuuuuuule']","['application nuuuuuul fonctionne', 'nuuuuuul', 'nuuuuuul']"
8,13,8_magnifique_magnifiques_extra_bravo,"['magnifique', 'magnifiques', 'extra', 'bravo', 'beaucoup', 'service', 'application', '', '', '']","['magnifique', 'magnifique', 'magnifique']"
9,8,9_mal_continuer__,"['mal', 'continuer', '', '', '', '', '', '', '', '']","['mal', 'mal', 'mal']"
10,7,10_bug_bugs_lenteurs_inscription,"['bug', 'bugs', 'lenteurs', 'inscription', '', '', '', '', '', '']","['bugs', 'bug', 'bug bug bug']"
11,6,11_génial_genial_début_application,"['génial', 'genial', 'début', 'application', '', '', '', '', '', '']","['génial', 'génial', 'génial']"
