Num Topics = 2 | Coherence = 0.5628 | Perplexity = -6.4904
Num Topics = 3 | Coherence = 0.5679 | Perplexity = -6.5156
Num Topics = 4 | Coherence = 0.5344 | Perplexity = -6.5454
Num Topics = 5 | Coherence = 0.5626 | Perplexity = -6.5832
Num Topics = 6 | Coherence = 0.4852 | Perplexity = -6.5805
Num Topics = 7 | Coherence = 0.4556 | Perplexity = -6.6347
Num Topics = 8 | Coherence = 0.4516 | Perplexity = -6.6254
Num Topics = 9 | Coherence = 0.4380 | Perplexity = -6.6675
Num Topics = 10 | Coherence = 0.3864 | Perplexity = -6.6676
Num Topics = 11 | Coherence = 0.4246 | Perplexity = -6.6959
Num Topics = 12 | Coherence = 0.4737 | Perplexity = -6.6937
Num Topics = 13 | Coherence = 0.5071 | Perplexity = -6.7178
Num Topics = 14 | Coherence = 0.5082 | Perplexity = -6.6980
Num Topics = 15 | Coherence = 0.4416 | Perplexity = -6.7251
Num Topics = 16 | Coherence = 0.5018 | Perplexity = -6.7444
Num Topics = 17 | Coherence = 0.4557 | Perplexity = -6.7642
Num Topics = 18 | Coherence = 0.5287 | Perplexity = -6.7500
Num Topics = 19 | Coherence = 0.5332 | Perplexity = -7.0485
Num Topics = 20 | Coherence = 0.5097 | Perplexity = -6.9757
Num Topics = 21 | Coherence = 0.4805 | Perplexity = -6.9764
Num Topics = 22 | Coherence = 0.5199 | Perplexity = -7.1832
Num Topics = 23 | Coherence = 0.5190 | Perplexity = -7.1819
Num Topics = 24 | Coherence = 0.4445 | Perplexity = -7.2036
Num Topics = 25 | Coherence = 0.4996 | Perplexity = -7.2196
Num Topics = 26 | Coherence = 0.4783 | Perplexity = -7.1999
Num Topics = 27 | Coherence = 0.5109 | Perplexity = -7.2186
Num Topics = 28 | Coherence = 0.5530 | Perplexity = -7.2361
Num Topics = 29 | Coherence = 0.5388 | Perplexity = -7.2385
Num Topics = 30 | Coherence = 0.5020 | Perplexity = -7.2262
Num Topics = 31 | Coherence = 0.5113 | Perplexity = -7.2302
Num Topics = 32 | Coherence = 0.4878 | Perplexity = -7.2367
Num Topics = 33 | Coherence = 0.5128 | Perplexity = -7.2507
Num Topics = 34 | Coherence = 0.5101 | Perplexity = -7.2563
Num Topics = 35 | Coherence = 0.4927 | Perplexity = -7.2747
Num Topics = 36 | Coherence = 0.4655 | Perplexity = -7.2981
Num Topics = 37 | Coherence = 0.4866 | Perplexity = -7.2711
Num Topics = 38 | Coherence = 0.4839 | Perplexity = -7.8665
Num Topics = 39 | Coherence = 0.5150 | Perplexity = -7.6800
Num Topics = 40 | Coherence = 0.4434 | Perplexity = -7.9696
Num Topics = 41 | Coherence = 0.4602 | Perplexity = -7.8819
Num Topics = 42 | Coherence = 0.4907 | Perplexity = -7.9731
Num Topics = 43 | Coherence = 0.4743 | Perplexity = -7.8803
Num Topics = 44 | Coherence = 0.4754 | Perplexity = -8.2669
Num Topics = 45 | Coherence = 0.4860 | Perplexity = -8.1185
Num Topics = 46 | Coherence = 0.4647 | Perplexity = -8.2060
Num Topics = 47 | Coherence = 0.4413 | Perplexity = -8.0430
Num Topics = 48 | Coherence = 0.4356 | Perplexity = -8.3197
Num Topics = 49 | Coherence = 0.4374 | Perplexity = -8.3080
Num Topics = 50 | Coherence = 0.4699 | Perplexity = -8.3714
