Num Topics = 2 | Coherence = 0.3539 | Perplexity = -6.6522
Num Topics = 3 | Coherence = 0.2931 | Perplexity = -6.6072
Num Topics = 4 | Coherence = 0.3354 | Perplexity = -6.6353
Num Topics = 5 | Coherence = 0.3497 | Perplexity = -6.6877
Num Topics = 6 | Coherence = 0.3761 | Perplexity = -6.9260
Num Topics = 7 | Coherence = 0.3360 | Perplexity = -6.8428
Num Topics = 8 | Coherence = 0.3392 | Perplexity = -6.8569
Num Topics = 9 | Coherence = 0.3739 | Perplexity = -6.9911
Num Topics = 10 | Coherence = 0.3576 | Perplexity = -6.8611
Num Topics = 11 | Coherence = 0.3543 | Perplexity = -6.8748
Num Topics = 12 | Coherence = 0.3751 | Perplexity = -6.8822
Num Topics = 13 | Coherence = 0.3546 | Perplexity = -7.1180
Num Topics = 14 | Coherence = 0.4008 | Perplexity = -6.9372
Num Topics = 15 | Coherence = 0.3682 | Perplexity = -6.9676
Num Topics = 16 | Coherence = 0.3606 | Perplexity = -6.9732
Num Topics = 17 | Coherence = 0.3863 | Perplexity = -7.0022
Num Topics = 18 | Coherence = 0.3662 | Perplexity = -7.0017
Num Topics = 19 | Coherence = 0.3753 | Perplexity = -7.0862
Num Topics = 20 | Coherence = 0.4108 | Perplexity = -7.1829
Num Topics = 21 | Coherence = 0.3620 | Perplexity = -7.1418
Num Topics = 22 | Coherence = 0.4029 | Perplexity = -7.1445
Num Topics = 23 | Coherence = 0.3528 | Perplexity = -7.1747
Num Topics = 24 | Coherence = 0.4115 | Perplexity = -7.2624
Num Topics = 25 | Coherence = 0.3874 | Perplexity = -7.1594
Num Topics = 26 | Coherence = 0.3318 | Perplexity = -7.2015
Num Topics = 27 | Coherence = 0.4102 | Perplexity = -7.3270
Num Topics = 28 | Coherence = 0.3557 | Perplexity = -7.2658
Num Topics = 29 | Coherence = 0.3917 | Perplexity = -7.2445
Num Topics = 30 | Coherence = 0.3938 | Perplexity = -7.2468
Num Topics = 31 | Coherence = 0.4190 | Perplexity = -7.3675
Num Topics = 32 | Coherence = 0.4273 | Perplexity = -7.4024
Num Topics = 33 | Coherence = 0.4043 | Perplexity = -7.3288
Num Topics = 34 | Coherence = 0.4089 | Perplexity = -7.2223
Num Topics = 35 | Coherence = 0.4463 | Perplexity = -7.3345
Num Topics = 36 | Coherence = 0.4614 | Perplexity = -7.7020
Num Topics = 37 | Coherence = 0.4154 | Perplexity = -7.3128
Num Topics = 38 | Coherence = 0.3932 | Perplexity = -7.4360
Num Topics = 39 | Coherence = 0.4049 | Perplexity = -7.7202
Num Topics = 40 | Coherence = 0.4393 | Perplexity = -7.5498
Num Topics = 41 | Coherence = 0.3940 | Perplexity = -7.5578
Num Topics = 42 | Coherence = 0.4482 | Perplexity = -7.6654
Num Topics = 43 | Coherence = 0.4202 | Perplexity = -7.8890
Num Topics = 44 | Coherence = 0.4450 | Perplexity = -7.6771
Num Topics = 45 | Coherence = 0.4140 | Perplexity = -7.6455
Num Topics = 46 | Coherence = 0.4155 | Perplexity = -7.7466
Num Topics = 47 | Coherence = 0.4746 | Perplexity = -7.7769
Num Topics = 48 | Coherence = 0.3909 | Perplexity = -7.7656
Num Topics = 49 | Coherence = 0.4138 | Perplexity = -7.5585
Num Topics = 50 | Coherence = 0.3760 | Perplexity = -7.6583
