Num Topics = 2 | Coherence = 0.2674 | Perplexity = -6.8563
Num Topics = 3 | Coherence = 0.2770 | Perplexity = -6.9949
Num Topics = 4 | Coherence = 0.3140 | Perplexity = -7.0100
Num Topics = 5 | Coherence = 0.3300 | Perplexity = -7.0645
Num Topics = 6 | Coherence = 0.3836 | Perplexity = -7.1161
Num Topics = 7 | Coherence = 0.3329 | Perplexity = -7.1515
Num Topics = 8 | Coherence = 0.4140 | Perplexity = -7.1572
Num Topics = 9 | Coherence = 0.4117 | Perplexity = -7.1976
Num Topics = 10 | Coherence = 0.3536 | Perplexity = -7.2898
Num Topics = 11 | Coherence = 0.3884 | Perplexity = -7.2271
Num Topics = 12 | Coherence = 0.3830 | Perplexity = -7.2684
Num Topics = 13 | Coherence = 0.4123 | Perplexity = -7.2724
Num Topics = 14 | Coherence = 0.4347 | Perplexity = -7.2724
Num Topics = 15 | Coherence = 0.4376 | Perplexity = -7.2273
Num Topics = 16 | Coherence = 0.4322 | Perplexity = -7.3005
Num Topics = 17 | Coherence = 0.3689 | Perplexity = -7.3285
Num Topics = 18 | Coherence = 0.4164 | Perplexity = -7.5177
Num Topics = 19 | Coherence = 0.4296 | Perplexity = -7.5303
Num Topics = 20 | Coherence = 0.3441 | Perplexity = -7.5226
Num Topics = 21 | Coherence = 0.4179 | Perplexity = -7.5604
Num Topics = 22 | Coherence = 0.3983 | Perplexity = -7.5373
Num Topics = 23 | Coherence = 0.3705 | Perplexity = -7.5968
Num Topics = 24 | Coherence = 0.3841 | Perplexity = -7.6264
Num Topics = 25 | Coherence = 0.4264 | Perplexity = -7.6466
Num Topics = 26 | Coherence = 0.3679 | Perplexity = -7.5628
Num Topics = 27 | Coherence = 0.4204 | Perplexity = -7.6846
Num Topics = 28 | Coherence = 0.3568 | Perplexity = -7.6588
Num Topics = 29 | Coherence = 0.4325 | Perplexity = -7.7744
Num Topics = 30 | Coherence = 0.3537 | Perplexity = -7.6855
Num Topics = 31 | Coherence = 0.3901 | Perplexity = -7.7116
Num Topics = 32 | Coherence = 0.3585 | Perplexity = -7.6524
Num Topics = 33 | Coherence = 0.4243 | Perplexity = -7.7665
Num Topics = 34 | Coherence = 0.3777 | Perplexity = -7.7854
Num Topics = 35 | Coherence = 0.3669 | Perplexity = -7.8123
Num Topics = 36 | Coherence = 0.4029 | Perplexity = -7.9087
Num Topics = 37 | Coherence = 0.3607 | Perplexity = -7.9077
Num Topics = 38 | Coherence = 0.4452 | Perplexity = -7.8615
Num Topics = 39 | Coherence = 0.4221 | Perplexity = -8.0107
Num Topics = 40 | Coherence = 0.3519 | Perplexity = -7.8505
Num Topics = 41 | Coherence = 0.4309 | Perplexity = -7.9521
Num Topics = 42 | Coherence = 0.3805 | Perplexity = -7.9435
Num Topics = 43 | Coherence = 0.4043 | Perplexity = -8.0121
Num Topics = 44 | Coherence = 0.4395 | Perplexity = -7.9118
Num Topics = 45 | Coherence = 0.3789 | Perplexity = -7.9465
Num Topics = 46 | Coherence = 0.3934 | Perplexity = -8.0223
Num Topics = 47 | Coherence = 0.4046 | Perplexity = -8.0245
Num Topics = 48 | Coherence = 0.3777 | Perplexity = -8.1131
Num Topics = 49 | Coherence = 0.3958 | Perplexity = -8.0716
Num Topics = 50 | Coherence = 0.4102 | Perplexity = -7.9908
