App,Review,Sentiment,Rating,Date,Language
UIB Mobile,L'application ne marche plus depuis la mise à jour du 03 octobre Erreur : ne peut pas acceder au fichier android_assets/index.html,Negative,1,2023-10-09 07:04:46,fr
UIB Mobile,ملقيت منقول شيئ محزن,Negative,1,2023-09-24 21:16:25,tnar
UIB Mobile,Application fiable,Positive,5,2023-05-27 14:22:39,fr
UIB Mobile,Unuseful - all offers asks you to contact the bank instead of giving you real useful information.,Negative,1,2023-05-03 06:25:11,en
UIB Mobile,"credit simulation does not work, doesn't simulate anything",Negative,1,2023-05-03 06:25:11,en
UIB Mobile,"asks you for your location (????) - runs at start time (really ????) - no published data safety rules, reasons for what this app wasn't updated since 2021 (security ????)",Negative,1,2023-05-03 06:25:11,en
UIB Mobile,"Je n'arrive plus à faire des virements à travers l'application, ça bloque au niveau de la date d'exécution que je n'arrive plus à sélectionner",Negative,1,2022-07-13 02:23:05,fr
UIB Mobile,"It does not work at allllllllll !!!!!!!!!! Always same unknown error with no reason there is no update to be installed, internet connexion is stable and there is no explanation as to why this app sucks so bad, we only ask you to fix the bugs so that we can check our balance.... after all this is the only thing this app is good for. Unable to give 0 stars 1 star is fairly over rating......",Negative,1,2022-01-31 20:00:45,en
UIB Mobile,Doesn't work anymore,Negative,1,2021-12-21 12:32:57,en
UIB Mobile,"The application was working correctly and fine. But now I can't access to my account. Why????????????????????? I tape my number accès and pass word, but no result.",Negative,1,2021-12-20 08:13:41,en
UIB Mobile,شكرا,Positive,5,2021-11-13 11:52:33,ar
UIB Mobile,"Only good for checking your balance, little else. What I hated most is that you're forced to give your location in order to use it. Why? I should be able to do my banking from anywhere in the world. Sick of all thos tracking and tracing. Also, no options to use the app with alternative security (such as a pin) other than using two lengthy numbers.",Negative,2,2021-11-06 15:38:33,en
UIB Mobile,après la dernière mise à jour je n'arrive pas à effectuer des virement. l'app me demande le numéro de fiche client ! c'est quoi ? d'où je l'obtient ?,Negative,2,2021-08-11 08:14:35,fr
UIB Mobile,Plusieurs problèmes après la mise à jour,Negative,1,2021-07-30 09:22:24,fr
UIB Mobile,"I can't connect, the password is not accepted! Very bad app.",Negative,1,2021-07-30 04:56:41,en
UIB Mobile,This app just dont work,Negative,1,2021-07-29 16:30:44,en
UIB Mobile,"Poor app, i can't even be logged in",Negative,1,2021-07-29 11:32:53,en
UIB Mobile,Extremely bad app,Negative,1,2021-07-29 10:39:27,en
UIB Mobile,"After the last update, it doesn't work anymore at all. Update: can't connect at all anymore, please fix it.",Negative,1,2021-07-28 14:20:16,en
UIB Mobile,"Depuis le dernier mise a jour je ne peut plus fair mon login password car c'est limité à 8 chifre or que mon pass c'est bcp plus que 8 chiffre , c'est nnnnnul.....",Negative,1,2021-07-27 06:25:35,fr
UIB Mobile,So awful! So bad! So unproductive! An update that made it worse and worse with no connection to the system. One star would be too much as appraisal.,Negative,1,2021-07-24 12:15:30,en
UIB Mobile,"i can't access my account any more, even reset password not working",Negative,1,2021-07-20 22:14:20,en
UIB Mobile,Depuis le dernier mise à jours j'ai perdu l'accès à mon compte c'est nul 👎,Negative,1,2021-07-19 16:44:53,fr
UIB Mobile,"Apres la derniere mise a jour je peux rien faire, l'application bloque",Negative,1,2021-07-19 11:04:19,fr
UIB Mobile,جيد,Positive,4,2021-07-17 15:01:44,ar
UIB Mobile,Why screenshot didnt work in this app ?! We need it so much,Negative,2,2021-07-14 23:20:45,en
UIB Mobile,So bad,Negative,1,2021-07-14 21:42:00,en
UIB Mobile,"Hello support team, At the begging the app worked fine, then 1 month later it started blocking and some other few bugs. I reinstalled the app several times, but issues was persisting. I couldn't access my account any more (the User id and the password was correct, however the login process was rejected). Thanks in advance for your time and considiration.",Negative,1,2021-07-14 15:54:01,en
UIB Mobile,Where is the upgrade ????????????!,Negative,1,2021-07-14 07:26:51,en
UIB Mobile,Good,Positive,5,2021-07-14 05:53:04,en
